"Id","Link","Make","Model","Trim","Year","Price","Mileage","Date_sold","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect","L_Predicted_Price","L_Price_Gap_Percentage","R_Predicted_Price","R_Price_Gap_Percentage","Count"
"1712650189-157","https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2016-215213","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","2016","79,000","165,000","","2,016.032","161,629.65","109,031.74"," -1,790.903","-1,436.2300","105,804.61",33.92988029684,"101,961.25",29.064867389994,5
"1712650178-111","https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2014-215211","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","2014","75,000","200,000","","2,016.032","207,130.43","109,031.74","-48,692.578","   688.3905"," 61,027.55",-18.6299324995614," 83,031.02",10.7080285714286,5
"1712650178-135","https://qatarsale.com/en/product/nissan_patrol_platinum_2016_white_automatic_suv-111678","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","2016","98,000","171,000","","2,016.032","161,629.65","109,031.74"," -1,790.903","-3,152.0833","104,088.75",6.21301231459768," 97,992.58",0,5
"1712650157-63","https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2015-206495","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","2015","93,000","165,000","","2,016.032","184,380.04","109,031.74","-25,241.740"," 1,927.8453"," 85,717.84",-7.83027630945914," 91,584.23",-1.52232974910397,5
"1712650146-13","https://qatarsale.com/en/product/nissan_patrol_platinum_white_suv_automatic_2015-215168","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Platinum-8-Automatic","2015","88,000","180,000","","2,016.032","184,380.04","109,031.74","-25,241.740","   587.2053"," 84,377.20",-4.11681469549158," 85,655.76",-2.66390963203462,5
"1712650239-312","https://qatarsale.com/en/product/nissan_patrol_safari_black_suv_automatic_2023-184409","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Safari-6-Automatic","2023","170,000","2,000","","2,021.618","0.00","156,764.71","13,306.13","-2,721.133","167,349.7",-1.5590000000002,"173,137.5",1.84559996818821,1
"1712650178-123","https://qatarsale.com/en/product/nissan_patrol_se_black_suv_automatic_2023-200823","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-SE-6-Automatic","2023","189,000","0","","2,021.843","11,787.70","172,044.94","29,732.7","3,805.59","205,583.2",8.77419729644022,"195,222.9",3.29253294476406,2
"1712650217-222","https://qatarsale.com/en/product/nissan_patrol_se_black_suv_automatic_2023-208831","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-SE-6-Automatic","2023","195,000","0","","2,021.843","11,787.70","172,044.94","29,732.7","3,805.59","205,583.2",5.42729891808821,"195,222.9",0.114301161848244,2
"1712650250-357","https://qatarsale.com/en/product/nissan_patrol_se_white_suv_automatic_2016-215004","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-SE-8-Automatic","2016"," 59,000","165,000","","2,015.86","194,245.68","85,254.00"," -1,373.529","3,253.983"," 87,134.45",47.685515901933," 78,818.03",33.5898889346247,2
"1712650217-230","https://qatarsale.com/en/product/nissan_patrol_se_black_suv_automatic_2023-213973","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-SE-8-Automatic","2023","192,000","      0","","2,015.86"," 13,626.60","85,254.00","107,763.661","4,208.280","197,225.94",2.72184403021298,"195,233.67",1.68420104110672,2
"1712650227-269","https://qatarsale.com/en/product/nissan_patrol_super_safari_black_suv_automatic_2022-215262","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Super Safari-6-Automatic","2022","168,000","55,000","","2,021.904","22,228.64","184,788.46","4,573.541","-11,443.938","177,918.1",5.90361034034811,"174,676.7",3.9742049603174,2
"1712650178-124","https://qatarsale.com/en/product/nissan_patrol_super_safari_white_suv_automatic_2022-199485","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Super Safari-6-Automatic","2022","169,000","41,000","","2,021.904","22,228.64","184,788.46","4,573.541"," -8,414.145","180,947.9",7.06973811726678,"173,366.9",2.58397305719913,2
"1712650146-6","https://qatarsale.com/en/product/nissan_patrol_titanium_black_suv_automatic_2023-215170","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Titanium-6-Automatic","2023","195,000","13,000","","2,022.812"," 9,129.412","213,304.35","  3,218.459","-3,765.968","212,756.8",9.10607106242238,"201,572.9",3.37071716950979,2
"1712650178-137","https://qatarsale.com/en/product/nissan_patrol_titanium_silver_suv_automatic_2020-196134","Nissan","Nissan-Patrol","Nissan-Nissan-Patrol-Titanium-6-Automatic","2020","179,000","42,000","","2,022.812","54,200.000","213,304.35","-33,271.014"," 1,209.824","181,243.2",1.25316052141534,"179,000.6",0,2
"1712650167-95","https://qatarsale.com/en/product/nissan_pickup_white_pick_up_manual_2016-198350","Nissan","Nissan-Pickup","Nissan-Nissan-Pickup-Standard-4-Manual","2016","26,000","320,000","","2,015.688","261,818.18","28,000.00","2,800","-2,867.2","27,932.8",7.43384615383301,"28,535.65",9.75249084249086,1
"1712650167-96","https://qatarsale.com/en/product/nissan_sentra_gray_sedan_automatic_2014-199959","Nissan","Nissan-Sentra","Nissan-Nissan-Sentra-Standard-4-Automatic","2014","17,000","244,375","","2,016.714","202,777.78","29,285.71","-10,230.16","-1,439.753","17,615.8",3.62236746551297,"20,266.77",19.2162745098039,1
"1712650250-359","https://qatarsale.com/en/product/nissan_x_trail_silver_suv_automatic_2015-215136","Nissan","Nissan-X-Trail","Nissan-Nissan-X-Trail-Standard-4-Automatic","2015"," 42,500","90,700","","2,020.455","151,591.59","77,954.23","-47,485.97","2,515.050","32,983.31",-22.3922151306238," 46,161.1",8.61435231372551,3
"1712650178-126","https://qatarsale.com/en/product/nissan_x_trail_black_suv_automatic_2023-200817","Nissan","Nissan-X-Trail","Nissan-Nissan-X-Trail-Standard-4-Automatic","2023","115,000","     0","","2,020.455"," 18,138.14","77,954.23"," 12,396.78","2,622.078","92,973.09",-19.153838936418,"112,062.4",-2.55445889575158,3
"1712650178-129","https://qatarsale.com/en/product/nissan_x_trail_gray_suv_automatic_2023-197118","Nissan","Nissan-X-Trail","Nissan-Nissan-X-Trail-Standard-4-Automatic","2023","115,000","     0","","2,020.455"," 18,138.14","77,954.23"," 12,396.78","2,622.078","92,973.09",-19.153838936418,"112,062.4",-2.55445889575158,3
"1712650178-143","https://qatarsale.com/en/product/porsche_cayenne_gts_gray_suv_automatic_2014-188369","Porsche","Porsche-Cayenne","Porsche-Porsche-Cayenne-GTS-8-Automatic","2014","73,000","162,000","","2,015.071","115,555.56","124,928.57","-36,895.99","-7,668.616","80,363.97",10.0876289531478,"80,464.35",10.2251320547945,1
"1712650201-202","https://qatarsale.com/en/product/suv_automatic_gray_2016_s_cayenne_porsche-86056","Porsche","Porsche-Cayenne","Porsche-Porsche-Cayenne-S-6-Automatic","2016","90,000","140,000","","2,017.765","111,265.06","199,823.41","-60,490.16","-6,405.972","132,927.3",47.6969786680846,"98,717.56",9.68617570370366,1
"1712650178-120","https://qatarsale.com/en/product/smart_mhd_white_hatchback_automatic_2015-215208","Smart","Smart-MHD","Smart-Smart-MHD-Standard-4-Automatic","2015","32,000","24,000","","2,015.00","60,000.00","33,000.00","0","1,584","34,584",8.075,"65,417.5",104.42967875,1
"1712650250-333","https://qatarsale.com/en/product/suzuki_jimny_white_suv_automatic_2024-209511","Suzuki","Suzuki-Jimny","Suzuki-Suzuki-Jimny-Standard-4-Automatic","2024","149,000","0","","2,021.056","18,537.68","72,979.17","19,826.93","2,752.655","95,558.76",-35.8666073466693,"96,563.15",-35.1925180933906,1
