"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712650157-58","https://qatarsale.com/en/product/lexus_lx_570_s_black_suv_automatic_2015-215182","Lexus","Lexus-LX","Lexus-Lexus-LX-570 S-8-Automatic","2015","140,000","199,000","158,626.0",13.3043165322437,"2,017.177","207,438.83","224,152.42","-67,392.157","  1,865.780"
"1712650239-317","https://qatarsale.com/en/product/lexus_lx_570_s_white_suv_automatic_2018-215331","Lexus","Lexus-LX","Lexus-Lexus-LX-570 S-8-Automatic","2018","235,000"," 92,000","261,191.9",11.1454707837227,"2,017.177","139,026.43","224,152.42"," 21,688.562"," 15,350.874"
"1712650227-259","https://qatarsale.com/en/product/lexus_lx_570_black_suv_automatic_2020-214974","Lexus","Lexus-LX","Lexus-Lexus-LX-570-8-Automatic","2020","    315"," 85,000","317,457.9",100680.278592951,"2,016.311"," 93,054.56","200,980.25","114,933.66","  1,543.965"
"1712650157-50","https://qatarsale.com/en/product/lexus_lx_570_white_suv_automatic_2017-215184","Lexus","Lexus-LX","Lexus-Lexus-LX-570-8-Automatic","2017","218,000"," 90,000","248,047.7",13.7833298805962,"2,016.311","168,068.45","200,980.25"," 19,524.29"," 27,543.115"
"1712650146-24","https://qatarsale.com/en/product/mercedes_benz_cla_250_black_sedan_automatic_2023-215163","Mercedes-Benz","Mercedes-Benz-CLA","Mercedes-Benz-Mercedes-Benz-CLA-250-4-Automatic","2023","143,000","22,000","183,669.4",28.44016132423,"2,021.125","17,091.84","149,249.94","38,292.83","-3,873.332"
"1712650201-203","https://qatarsale.com/en/product/mercedes_benz_gls_500_white_suv_automatic_2017-171640","Mercedes-Benz","Mercedes-Benz-GLS","Mercedes-Benz-Mercedes-Benz-GLS-500-8-Automatic","2017","119,000","119,000","133,344.4",12.0540795966377,"2,018.182","92,166.67","158,181.64","-18,622.236","-6,215.045"
"1712650157-64","https://qatarsale.com/en/product/mercedes_benz_s_class_400_white_sedan_automatic_2015-215179","Mercedes-Benz","Mercedes-Benz-S-Class","Mercedes-Benz-Mercedes-Benz-S-Class-400-6-Automatic","2015","100,000"," 66,000","127,591.7",27.5917450222236,"2,014.955","123,306.67","113,909.09"," 3,655.492","10,027.1617"
"1712650189-164","https://qatarsale.com/en/product/sedan_automatic_black_2015_500_s_class_mercedes_benz-52660","Mercedes-Benz","Mercedes-Benz-S-Class","Mercedes-Benz-Mercedes-Benz-S-Class-500 AMG-8-Automatic","2015","129,999","136,000","168,143.8",29.3423595566037,"2,014.80","80,000.00","169,799.80","16,199.95","-17,855.976"
"1712650227-285","https://qatarsale.com/en/product/mini_cooper_gp_gray_hatchback_automatic_2021-199544","Mini","Mini-Cooper","Mini-Mini-Cooper-GP-4-Automatic","2021","149,000","42,000","195,778",31.3946308724832,"2,021.00","30,000.00","202,250.00","0","-6,472"
"1712650189-160","https://qatarsale.com/en/product/mini_cooper_jcw_white_hatchback_automatic_2022-211849","Mini","Mini-Cooper","Mini-Mini-Cooper-JCW-4-Automatic","2022","119,000","49,891","131,951.0",10.8831958336784,"2,019.645","41,061.51","106,903.19","26,962.30","-1,914.489"
