"Id","Link","Make","Model","Trim","Year","Price","Mileage","L_Predicted_Price","L_Price_Gap_Percentage","Average_Year_per_Trim","Average_Milerange_per_Trim_Year_LR","Average_Price_per_Trim","Year_Effect","Mileage_Effect"
"1712256812-15811","https://qatarsale.com/en/product/dodge_charger_rt_plus_green_sedan_automatic_2023-212425","Dodge","Dodge-Charger","Dodge-Dodge-Charger-R/T Plus-8-Automatic","2023","159,999","0","216,110.1",35.0696636298421,"2,023.00","0.00","215,415.67","694.4444","0"
"1712256931-16152","https://qatarsale.com/en/product/dodge_charger_rt_orange_sedan_automatic_2021-200285","Dodge","Dodge-Charger","Dodge-Dodge-Charger-RT-8-Automatic","2021"," 90,000"," 42,000","119,799.90",33.1110024292873,"2,020.333"," 41,478.697","116,916.33","  4,539.508","-1,655.9393"
"1712256103-14101","https://qatarsale.com/en/product/dodge_ram_white_pick_up_automatic_2021-128741","Dodge","Dodge-Ram","Dodge-Dodge-Ram-Standard-8-Automatic","2021","101,000"," 30,000","154,458.65",52.9293581851306,"2,019.75"," 47,389.13","129,166.67"," 21,110.8727"," 4,181.1124"
"1712256049-13961","https://qatarsale.com/en/product/dodge_ram_gray_pick_up_automatic_2022-208954","Dodge","Dodge-Ram","Dodge-Dodge-Ram-Standard-8-Automatic","2022","115,000"," 37,000","164,955.45",43.4395216867197,"2,019.75"," 19,198.86","129,166.67"," 41,467.8112","-5,679.0279"
"1712256354-14786","https://qatarsale.com/en/product/fiat_595_abarth_blue_hatchback_automatic_2022-209464","Fiat","Fiat-595","Fiat-Fiat-595-Abarth-4-Automatic","2022"," 70,000","18,000","88,864.66",26.9495141812243,"2,021.00","23,357.14","83,249.94","  5,139.94250","   474.77993"
"1712255683-12987","https://qatarsale.com/en/product/ford_f_150_gray_pick_up_automatic_2023-206626","Ford","Ford-F","Ford-Ford-F-150-6-Automatic","2023","195,000","  1,000","269,775.14",38.3462254665349,"2,019.765"," 10,429.22","174,646.94"," 94,943.06","    185.1431"
"1712255657-12918","https://qatarsale.com/en/product/ford_mustang_gt_silver_coupe_sport_automatic_2021-206460","Ford","Ford-Mustang","Ford-Ford-Mustang-GT-8-Automatic","2021","105,000"," 28,000","134,911.19",28.486852023809,"2,017.036"," 34,937.50","101,375.00"," 32,478.750"," 1,057.4446"
"1712255488-12571","https://qatarsale.com/en/product/gmc_sierra_1500_red_pick_up_automatic_2022-205734","GMC","GMC-Sierra","GMC-GMC-Sierra-1500-8-Automatic","2022","106,750"," 24,000","145,834.03",36.6126767475227,"2,016.838"," 43,130.25","84,993.24"," 57,840.090","  3,000.69909"
"1712254043-8694","https://qatarsale.com/en/product/gmc_sierra_2500_hd_black_pick_up_automatic_2021-190572","GMC","GMC-Sierra","GMC-GMC-Sierra-2500 HD-8-Automatic","2021","149,000"," 28,000","181,072.40",21.5250997911628,"2,019.50"," 45,237.548","147,566.67"," 29,196.239","  4,309.49328"
"1712254069-8770","https://qatarsale.com/en/product/gmc_sierra_at4_black_pick_up_automatic_2021-185826","GMC","GMC-Sierra","GMC-GMC-Sierra-AT4-8-Automatic","2021","119,000"," 43,000","154,424.19",29.7682280334031,"2,020.89"," 62,507.58","142,963.41","  8,431.052","  3,029.7244"
"1712256037-13927","https://qatarsale.com/en/product/gmc_sierra_at4_black_pick_up_automatic_2022-208845","GMC","GMC-Sierra","GMC-GMC-Sierra-AT4-8-Automatic","2022","145,000"," 19,900","184,308.80",27.1095184368246,"2,020.89"," 43,291.67","142,963.41"," 34,723.585","  6,621.8022"
"1712256824-15863","https://qatarsale.com/en/product/gmc_sierra_elevation_black_pick_up_automatic_2021-188004","GMC","GMC-Sierra","GMC-GMC-Sierra-Elevation-8-Automatic","2021"," 98,000"," 18,000","158,349.90",61.5815325099629,"2,021.513"," 71,495.02","158,263.16","-11,966.90","12,053.6461"
"1712256569-15330","https://qatarsale.com/en/product/gmc_sierra_elevation_beige_pick_up_automatic_2023-211524","GMC","GMC-Sierra","GMC-GMC-Sierra-Elevation-8-Automatic","2023","145,000"," 18,000","194,273.70",33.9818607658347,"2,021.513"," 15,508.04","158,263.16"," 37,416.92","-1,406.3809"
"1712256625-15471","https://qatarsale.com/en/product/gmc_yukon_red_suv_automatic_2019-158894","GMC","GMC-Yukon","GMC-GMC-Yukon-Standard-8-Automatic","2019","123,000"," 64,000","159,331.26",29.5376119603918,"2,018.00","117,295.38","116,111.11"," 32,011.340"," 11,208.8117"
"1712255380-12283","https://qatarsale.com/en/product/gmc_yukon_gray_suv_automatic_2020-202739","GMC","GMC-Yukon","GMC-GMC-Yukon-Standard-8-Automatic","2020","150,000"," 66,000","180,023.22",20.0154775235019,"2,018.00"," 95,287.39","116,111.11"," 56,911.634","  7,000.4712"
"1712256225-14421","https://qatarsale.com/en/product/geely_coolray_gray_suv_automatic_2022-209982","Geely","Geely-Coolray","Geely-Geely-Coolray-Standard-3-Automatic","2022","47,000","18,000","56,510.56",20.2352340425529,"2,022.643","36,000.00","55,960.00","-860.0000"," 1,410.5600"
"1712255546-12716","https://qatarsale.com/en/product/hyundai_staria_black_van_bus_automatic_2023-206092","Hyundai","Hyundai-Staria","Hyundai-Hyundai-Staria-Standard-6-Automatic","2023"," 91,000","24,517","130,701.9",43.6284457106618,"2,022.786","11,574.07","111,850.00","22,822.222","-3,970.3366"
"1712254227-9185","https://qatarsale.com/en/product/hyundai_staria_silver_van_bus_automatic_2023-192549","Hyundai","Hyundai-Staria","Hyundai-Hyundai-Staria-Standard-6-Automatic","2023"," 96,000"," 5,000","135,011.4",40.6368715706387,"2,022.786","11,574.07","111,850.00","22,822.222","   339.1745"
